Firm,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
SUZLON,EQ,31-Mar-22,9.35,9.4,9.45,9.1,9.2,9.15,9.23,"2,01,25,500","18,57,28,227.95","21,226","1,04,47,953",51.91
SUZLON,EQ,01-Apr-22,9.15,9.2,9.6,9.15,9.6,9.45,9.37,"2,29,08,144","21,46,53,144.70","18,130","1,10,62,534",48.29
SUZLON,EQ,04-Apr-22,9.45,9.7,9.9,9.65,9.9,9.9,9.79,"2,91,61,531","28,55,96,590.25","22,151","2,26,38,925",77.63
SUZLON,EQ,05-Apr-22,9.9,10.35,10.35,10.35,10.35,10.35,10.35,"67,41,392","6,97,73,407.20","6,946","67,41,392",100
SUZLON,EQ,06-Apr-22,10.35,10.85,10.85,10.85,10.85,10.85,10.85,"55,34,021","6,00,44,127.85","6,242","55,34,021",100
SUZLON,EQ,07-Apr-22,10.85,11.3,11.9,10.85,11.9,11.75,11.47,"22,85,50,422","2,62,25,37,748.70","1,20,828","9,12,87,416",39.94
SUZLON,EQ,08-Apr-22,11.75,12.3,12.35,11.75,11.95,11.95,12.08,"8,28,71,097","1,00,11,44,305.95","77,070","4,32,85,503",52.23
SUZLON,EQ,11-Apr-22,11.95,12.05,12.2,10.95,11.2,11.1,11.53,"9,14,30,023","1,05,44,07,122.55","89,440","4,73,21,086",51.76
SUZLON,EQ,12-Apr-22,11.1,11,11.6,10.65,11.5,11.35,11.06,"8,91,45,323","98,55,76,069.80","46,784","3,47,01,880",38.93
SUZLON,EQ,13-Apr-22,11.35,11.6,11.7,11.1,11.25,11.2,11.31,"3,78,51,383","42,81,73,122.90","34,704","1,80,13,289",47.59
SUZLON,EQ,18-Apr-22,11.2,11.1,11.5,10.8,11,11,11.07,"5,07,21,535","56,17,26,462.95","40,063","1,85,08,821",36.49
SUZLON,EQ,19-Apr-22,11,11.15,11.65,10.4,10.45,10.65,11.1,"6,33,74,263","70,36,40,802.10","37,284","2,26,35,616",35.72
SUZLON,EQ,20-Apr-22,10.65,10.6,11.1,10.55,10.85,10.75,10.83,"2,63,67,256","28,54,33,966.20","23,510","1,31,06,127",49.71
